"country","Mean_exposure","GDP_per_capita","Population_density","Unemployment_rate"
"Australia",-0.834145963078802,0.265931397489575,-0.461982726941408,-0.266312239887178
"Belgium",-0.353623503078159,0.0878820024872156,-0.0614976910007497,0.633577304248511
"Bulgaria",0.962237579370857,-0.951283328304373,-0.85209512455385,-0.656357243537322
"Canada",-1.30858586029463,0.156507977776576,-0.749633697165369,-0.143726667311419
"Chile",1.80771380646059,-0.983460265832522,-0.455329058940626,0.288108872444098
"Colombia",0.331678570678031,-1.62822574822874,0.921600730453328,1.31337002489591
"Croatia",0.447247263589578,-0.659225768957851,-0.86980450706544,0.0680120489558024
"Czechia",0.268825421901576,-0.056855396850152,-0.486522871278897,-1.1439134981
"Estonia",-1.23762262780508,0.206454775043682,-0.979855669816031,-0.767798673151649
"Finland",-1.49309026476745,0.135261936255321,-1.012112045105,0.19338365727192
"France",-0.639503953964617,-0.259992650130115,-0.555842454252832,0.703228197757465
"Germany",-0.454999549491797,0.576704698355754,-0.0515298385585122,-0.205019453599299
"Greece",0.558760914644579,-0.601492536460703,1.46783398446437,3.4251851160874
"Hungary",0.283018068399485,-0.807281438161186,-0.836080782939799,-0.425116277087594
"Ireland",-0.935522009492439,2.60706034200291,-1.04563337628765,-0.316460883213625
"Italy",0.224219961479575,-0.120757792199359,0.647484788291797,1.02640834363901
"Japan",-0.0941008242592469,-0.0885601883465897,0.344882039404481,-1.05197431866818
"Korea",2.6329148242676,-0.0260784703385924,1.57029541185285,-0.767798673151649
"Latvia",0.100541184854937,-0.14301807334429,-0.906488227982304,-0.266312239887178
"Lithuania",-0.371871191432614,0.0355866628940206,-0.831855830254891,-0.224521703781806
"Luxembourg",-0.89902663278353,3.58619370911266,-0.731924314653779,-0.182731167676433
"Malta",-0.0271926336262461,0.12998937394833,3.35641313373602,-0.712077958344486
"Mexico",0.218137398694757,-1.22536383475997,-0.0943359460008113,-0.778942816113082
"Netherlands",-0.325238210082341,0.48829628125287,0.788856258970029,-0.770584708892007
"New Zealand",-1.0875860791129,0.0639456294249972,-0.533756324349093,-0.592278421509084
"Poland",1.05955858392795,-0.500095069381038,-0.537475294676527,-0.790086959074515
"Portugal",-1.04298061869089,-0.498637828542423,0.379971915895302,0.118160692282249
"Romania",0.343843696247668,-0.563061121253216,0.843249362398482,-0.575562207066935
"Slovak Republic",0.68446721219749,0.50749423701367,-0.661086784607421,-0.29417259729076
"Slovenia",0.418861970593759,-0.0971017392839147,-0.840710521510686,-0.391683848203296
"Spain",-0.688164456243164,-0.359649376789833,0.321252663310446,2.21047353329124
"Switzerland",-0.552320554048889,1.71193823400375,0.717715139509186,0.00671926266792273
"TÃ¼rkiye",2.61466713591315,-0.922390216767824,1.66769701566659,2.05166949609082
"United Kingdom",-0.611118660968799,-0.066716413128623,0.5283006439888,-0.714863994084844
